,Score (x100),Min. Voltage (V),Max. cable utilization (%),Avg. cable utilization (%),Max. transformer utilization (%),Avg. transformer utilization (%),Toal line losses (kW)
0,67.1,383.4,119.6,21.0,61.7,41.2,78.9
1,68.9,388.5,119.6,20.5,64.1,40.8,73.2
